country
Argentina
Australia
Austria
Bahrain
Bangladesh
Belarus
Belgium
Bolivia
Bosnia and Herzegovina
Botswana
Brazil
Brunei
Bulgaria
Canada
Chile
China
Colombia
Costa Rica
Croatia
Cuba
Cyprus
Czech Republic
Denmark
Dominican Republic
Ecuador
Egypt
El Salvador
Estonia
Faroe Islands
Finland
France
Georgia
Germany
Greece
Guatemala
Guernsey
Hungary
Iceland
India
Indonesia
International
Iran
Ireland
Israel
Italy
Japan
Jordan
Korea, South
Kyrgyzstan
Latvia
Lebanon
Liechtenstein
Lithuania
Luxembourg
Macedonia (FYROM)
Malaysia
Malta
Mexico
Moldova
Nepal
Netherlands
New Zealand
Norway
Pakistan
Peru
Philippines
Poland
Portugal
Puerto Rico
Romania
Russia
Serbia
Singapore
Slovakia
Slovenia
South Africa
Spain
Sri Lanka
Sweden
Switzerland
Syria
Taiwan
Tunisia
Turkey
Ukraine
United Arab Emirates
United Kingdom
United States
Unknown
Uruguay
Venezuela
