name
Heavy
Speed Metal
Melodic Power Metal
Melodic Heavy
Power Metal
Melodic Symphonic Power Metal
Thrash
Death
Doom
Heavy Metal
Thrash Metal
Folk Metal
Doom Metal
Death Metal
Hard Rock
Gothic Metal
Symphonic Power Metal
Progressive Metal
Power
Melodic Death Metal
Metalcore
Symphonic Heavy
Opera Metal
Viking
Folk
Groove Metal
Symphonic Black Metal
Black Metal
Celtic Folk Metal
Symphonic Power
Melodic Black
Pagan Metal
Symphonic Black
Symphonic Death Metal
Progressive
Melodic
Neoclassical Black
Black
Grindcore
Deathcore
Rock
Melodic Thrash Metal
Technical Death Metal
Industrial Metal
Atmospheric Doom
Gothic
Progressive Power Metal
Funeral Doom Metal
Technical Deathcore
Stoner
Sludge Metal
Symphonic Deathcore
Stoner Rock
Metal
Ambient Black Metal
Melodic Doom
Extreme Progressive Metal
Technical Death
Progressive Gothic
Industrial Death Metal
Groove
Brutal Death Metal
Epic Black Metal
Symphonic Gothic
Melodic Death
Goregrind
Neofolk
Dark Ambient
Neoclassical
Ambient
Darkwave
Electronic
Industrial Black Metal
Melodic Thrash
Symphonic Doom Metal
Post-Rock
Symphonic
EBM
Electro
Melodic Power
Avant-garde Black Metal
Melodic Heavy Metal
Epic
Atmospheric Black Metal
Pagan Black Metal
Pagan Folk Doom Metal
Progressive Death Metal
Thrash Metal with Folk and Gothic influences
Hardcore
Viking Metal
Crust
Melodic Folk Metal
Progressive Doom Metal
Atmospheric Sludge
Post-Metal
Pagan
Progressive Thrash Metal
Symphonic Metal
Melodic Pagan Black Metal
Epic Doom
Melodic Black Metal
Depressive Black Metal
Crossover
Alternative Metal
Progressive Black
Progressive Metal with Extreme Metal elements
Technical Speed
Progressive Sludge Metal
Brutal Technical Death Metal
Psychedelic Doom Metal
Sludge
Atmospheric Country Rock
Experimental Death Metal
Brutal
Epic Doom Metal
Technical
Avant-garde Death Metal
Industrial
Progressive Melodic Death Metal
Symphonic Extreme Metal
Ambient Drone
Speed
Acoustic
Thrash Metal with Industrial Influences
Folk Black Metal
Technical Metalcore
Avant-garde
Funeral Death
Various
